Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Argentina,ARG,Female,FEM,Haiti,HTI,0,2,2,3,3
Argentina,ARG,Female,FEM,Honduras,HND,25,13,17,37,62
Argentina,ARG,Female,FEM,Jamaica,JAM,0,1,5,0,13
Argentina,ARG,Female,FEM,Martinique,MTQ,0,2,2,4,5
Argentina,ARG,Female,FEM,Mexico,MEX,1205,801,2991,2219,3255
Argentina,ARG,Female,FEM,Montserrat,MSR,0,0,0,0,0
Argentina,ARG,Female,FEM,Netherlands Antilles,ANT,13,13,13,63,29
Argentina,ARG,Female,FEM,Nicaragua,NIC,28,49,56,61,73
Argentina,ARG,Female,FEM,Panama,PAN,123,263,269,266,385
Argentina,ARG,Female,FEM,Paraguay,PRY,13033,12680,19095,23780,31854
Argentina,ARG,Female,FEM,Peru,PER,1374,2061,2616,2473,2112
Argentina,ARG,Female,FEM,Puerto Rico,PRI,66,198,290,672,152
Argentina,ARG,Female,FEM,St. Kitts and Nevis,KNA,0,0,0,2,0
Argentina,ARG,Female,FEM,St. Lucia,LCA,1,0,0,3,1
Argentina,ARG,Female,FEM,St. Vincent and the Grenadines,VCT,0,0,0,0,2
Argentina,ARG,Female,FEM,Suriname,SUR,191,129,86,121,168
Argentina,ARG,Female,FEM,Trinidad and Tobago,TTO,20,18,22,19,10
Argentina,ARG,Female,FEM,Turks and Caicos Islands,TCA,0,0,0,1,1
Argentina,ARG,Female,FEM,Uruguay,URY,14560,23013,9703,10736,13762
Argentina,ARG,Female,FEM,"Venezuela, RB",VEN,1778,1511,4930,4569,4120
Argentina,ARG,Female,FEM,Virgin Islands (U.S.),VIR,0,0,0,5,4
Argentina,ARG,Female,FEM,"Virgin Islands, British",VGB,0,0,0,0,0
Argentina,ARG,Male,MAL,Anguilla,AIA,0,0,0,0,1
Argentina,ARG,Male,MAL,Antigua and Barbuda,ATG,1,2,2,1,2
Argentina,ARG,Male,MAL,Argentina,ARG,0,0,0,0,0
Argentina,ARG,Male,MAL,Aruba,ABW,4,4,4,29,68
Argentina,ARG,Male,MAL,"Bahamas, The",BHS,0,14,7,4,5
Argentina,ARG,Male,MAL,Barbados,BRB,4,8,14,6,6
Argentina,ARG,Male,MAL,Belize,BLZ,3,4,4,0,0
Argentina,ARG,Male,MAL,Bolivia,BOL,2125,5019,7290,8509,13808
Argentina,ARG,Male,MAL,Brazil,BRA,8820,8166,13316,15076,15580
Argentina,ARG,Male,MAL,Cayman Islands,CYM,0,0,1,2,8
Argentina,ARG,Male,MAL,Chile,CHL,5843,6011,8993,16124,23280
Argentina,ARG,Male,MAL,Colombia,COL,559,788,939,1153,1479
Argentina,ARG,Male,MAL,Costa Rica,CRI,80,99,218,325,538
